num_expediente,fecha,hora,localizacion,numero,cod_distrito,distrito,same_as_wikidata_distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,same_as_wikidata_tipo_vehiculo,tipo_persona,rango_edad,sexo,same_as_wikidata_sexo,cod_lesividad,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga
2025S042953,2025-04-14T00:00:00Z,13:25,"avda. albufera, 270 con c/rafael alberti",270,13,puente de vallecas,https://www.wikidata.org/entity/Q2003054,colision fronto-lateral,despejado,passenger car,https://www.wikidata.org/entity/Q1144312,pasajero,más74,woman,https://www.wikidata.org/entity/Q467,,,445632,4470963,false,
2025S043231,2025-04-14T00:00:00Z,05:30,call. conciliacion / call. coalicion,1,17,villaverde,https://www.wikidata.org/entity/Q919536,colision fronto-lateral,despejado,passenger car,https://www.wikidata.org/entity/Q1144312,conductor,desconocido,anonymous,https://www.wikidata.org/entity/Q4233718,,,441564,4468039,false,
2025S042769,2025-04-15T00:00:00Z,00:30,paseo. castellana / plaza. lima,140,5,chamartin,https://www.wikidata.org/entity/Q1766348,colision lateral,lluvia debil,passenger car,https://www.wikidata.org/entity/Q1144312,conductor,30-34,woman,https://www.wikidata.org/entity/Q467,,,441433,4478127,false,
2025S042769,2025-04-15T00:00:00Z,00:30,paseo. castellana / plaza. lima,140,5,chamartin,https://www.wikidata.org/entity/Q1766348,colision lateral,lluvia debil,passenger car,https://www.wikidata.org/entity/Q1144312,conductor,60-64,man,https://www.wikidata.org/entity/Q8441,,,441433,4478127,false,
2025S042801,2025-04-15T00:00:00Z,05:52,"custa. sagrado corazon, 6 junto salida m30, direccion sur",6,5,chamartin,https://www.wikidata.org/entity/Q1766348,alcance,,truck,https://www.wikidata.org/entity/Q43193,conductor,desconocido,anonymous,https://www.wikidata.org/entity/Q4233718,,,443192,4479735,false,
2025S042801,2025-04-15T00:00:00Z,05:52,"custa. sagrado corazon, 6 junto salida m30, direccion sur",6,5,chamartin,https://www.wikidata.org/entity/Q1766348,alcance,,passenger car,https://www.wikidata.org/entity/Q1144312,conductor,21-24,man,https://www.wikidata.org/entity/Q8441,,,443192,4479735,true,
2025S042801,2025-04-15T00:00:00Z,05:52,"custa. sagrado corazon, 6 junto salida m30, direccion sur",6,5,chamartin,https://www.wikidata.org/entity/Q1766348,alcance,,passenger car,https://www.wikidata.org/entity/Q1144312,conductor,35-39,man,https://www.wikidata.org/entity/Q8441,,,443192,4479735,false,
2025S042801,2025-04-15T00:00:00Z,05:52,"custa. sagrado corazon, 6 junto salida m30, direccion sur",6,5,chamartin,https://www.wikidata.org/entity/Q1766348,alcance,,passenger car,https://www.wikidata.org/entity/Q1144312,conductor,45-49,man,https://www.wikidata.org/entity/Q8441,,,443192,4479735,false,
2025S042801,2025-04-15T00:00:00Z,05:52,"custa. sagrado corazon, 6 junto salida m30, direccion sur",6,5,chamartin,https://www.wikidata.org/entity/Q1766348,alcance,,passenger car,https://www.wikidata.org/entity/Q1144312,pasajero,21-24,woman,https://www.wikidata.org/entity/Q467,,,443192,4479735,false,
2025S042801,2025-04-15T00:00:00Z,05:52,"custa. sagrado corazon, 6 junto salida m30, direccion sur",6,5,chamartin,https://www.wikidata.org/entity/Q1766348,alcance,,passenger car,https://www.wikidata.org/entity/Q1144312,pasajero,25-29,man,https://www.wikidata.org/entity/Q8441,,,443192,4479735,false,
2025S042801,2025-04-15T00:00:00Z,05:52,"custa. sagrado corazon, 6 junto salida m30, direccion sur",6,5,chamartin,https://www.wikidata.org/entity/Q1766348,alcance,,passenger car,https://www.wikidata.org/entity/Q1144312,pasajero,30-34,man,https://www.wikidata.org/entity/Q8441,,,443192,4479735,false,
2025S042823,2025-04-15T00:00:00Z,07:35,"call. alcala, 205",205,4,salamanca,https://www.wikidata.org/entity/Q1773521,colision lateral,lluvia debil,bus,https://www.wikidata.org/entity/Q5638,conductor,55-59,man,https://www.wikidata.org/entity/Q8441,14,sin asistencia sanitaria,443435,4475596,false,
2025S042823,2025-04-15T00:00:00Z,07:35,"call. alcala, 205",205,4,salamanca,https://www.wikidata.org/entity/Q1773521,colision lateral,lluvia debil,motorcycle,https://www.wikidata.org/entity/Q34493,conductor,50-54,man,https://www.wikidata.org/entity/Q8441,3,ingreso superior a 24 horas,443435,4475596,false,
2025S042826,2025-04-15T00:00:00Z,07:15,"autov. m-30, 18rm23",18RM23,9,moncloa-aravaca,https://www.wikidata.org/entity/Q2017682,vuelco,lluvia debil,passenger car,https://www.wikidata.org/entity/Q1144312,conductor,60-64,man,https://www.wikidata.org/entity/Q8441,6,asistencia sanitaria inmediata en centro de salud o mutua,438557,4474329,false,
2025S042841,2025-04-15T00:00:00Z,08:20,call. relatores / call. atocha,1,1,centro,https://www.wikidata.org/entity/Q1763376,caida,lluvia debil,motorcycle,https://www.wikidata.org/entity/Q34493,conductor,45-49,man,https://www.wikidata.org/entity/Q8441,6,asistencia sanitaria inmediata en centro de salud o mutua,440365,4473929,false,
2025S042846,2025-04-15T00:00:00Z,07:50,"call. mendez alvaro, 57",57,2,arganzuela,https://www.wikidata.org/entity/Q2000929,choque contra obstaculo fijo,lluvia debil,bus,https://www.wikidata.org/entity/Q5638,conductor,40-44,man,https://www.wikidata.org/entity/Q8441,14,sin asistencia sanitaria,442211,4471982,false,
2025S042847,2025-04-15T00:00:00Z,09:08,call. caramuel / call. sepulveda,58,10,latina,https://www.wikidata.org/entity/Q794954,alcance,nublado,passenger car,https://www.wikidata.org/entity/Q1144312,conductor,25-29,woman,https://www.wikidata.org/entity/Q467,,,438052,4473106,false,
2025S042847,2025-04-15T00:00:00Z,09:08,call. caramuel / call. sepulveda,58,10,latina,https://www.wikidata.org/entity/Q794954,alcance,nublado,passenger car,https://www.wikidata.org/entity/Q1144312,conductor,50-54,man,https://www.wikidata.org/entity/Q8441,,,438052,4473106,false,
